isbn,titulo_livro,nome_editora,data_publicacao,nome_autores
,"Dom Casmurro","Editora ABC","15/05/1899","Machado de Assis"
9788575223481,,"Editora XYZ","01/01/1890","Aluísio Azevedo;Outro Autor"
9788572328136,"O Alquimista",,"01/01/1988","Paulo Coelho"
9788506079978,"Iracema","Saraiva",,"José de Alencar"
9788579890866,"Macunaíma","Record","01/01/1928",
9788578270836,"1984","Companhia das Letras","108/06/1949","George Orwell"
9788575030806,"O Nome do Vento","Arqueiro","27-03-2007","Patrick Rothfuss"
9788535905043,"O Sol é Para Todos","Companhia das Letras",1960-0711,"Harper Lee"
9788579890477,"Orgulho e Preconceito","Record","28/01/1813","Jane Austen","campo extra"
9788535902776,"O Apanhador no Campo de Centeio","Companhia das Letras","16/07/1951"
